Категория,Значение
"Ценности Департамента","Обоюдовыгодное сотрудничество и общая ответственность"
"Ценности Департамента","Справедливость"
"Ценности Департамента","Прозрачность"
"Ценности Департамента","Доверие"
"Ценности Департамента","Фиксация и следование договоренностям"
"Ценности Департамента","Признавать и исправлять ошибки"
"Ценности Департамента","Целеустремлённость"
"Ценности Компании","Делаем то, что любим"
"Ценности Компании","Делаем свою работу хорошо"
"Ценности Компании","Гордимся командой"
"Ценности Компании","Непрерывно развиваемся"
"Ценности Компании","Работаем гибко и открыто"
"Ценности Компании","Показываем результат"
"Ценности Компании","Строим долгосрочные партнёрские отношения"
"Принципы Компании","Люди важнее строгих процессов"
"Принципы Компании","Поддерживаем индивидуальность и инициативу"
"Принципы Компании","Соблюдаем законы и культуру стран присутствия"
"Принципы Компании","Общаемся с уважением"
"Принципы Компании","Придерживаемся инклюзивности"
"Принципы Компании","Цели сотрудника и компании важны одинаково"
"Принципы Компании","Верим во вклад каждого"
"Миссия","Уменьшить стресс: Мы делаем качественные, профессиональные продукты, чтобы быть уверенными в результате. Это снижает стресс у нас и заказчика, и позволяет гордиться совместной работой."
"Портрет сотрудника","Работает в команде"
"Портрет сотрудника","Эмоционально устойчив"
"Портрет сотрудника","Коммуникабелен"
"Портрет сотрудника","Стремится к развитию"
"Портрет сотрудника","Проявляет гибкость"
